url,title,published_at,fetched_at,source,text
https://i4u.gknu.ac.kr/,국립경국대학교 종합정보시스템,,2025-09-21T21:20:33.173055,crawl,"국립경국대학교 종합정보시스템"
https://www.gknu.ac.kr/,,,2025-09-21T21:20:33.240019,crawl,""
https://eprez.gknu.ac.kr/,e-총장실,,2025-09-21T21:20:33.251027,crawl,"e-총장실"
https://sign.gknu.ac.kr/,국립경국대학교 국립의과대학 설립 서명운동,,2025-09-21T21:20:33.264276,crawl,"경상북도 공공의료의 미래, '국립경국대학교 국립의과대학' 설립으로! 의료 불평등은 경북의 중심대학, 국립경국대학교 국립의과대학 설립으로 해소. 총 19,229명이 서명운동에 동참하였습니다. [서명 항목: 성명, 주소(시/군, 행정동 선택), 국립경국대학교 국립의과대학 설립 지지, 개인정보 수집·이용 및 정보제공 동의]"
https://www.gknu.ac.kr/main/index.do,국립경국대학교,2025-09-17T00:00:00+09:00,2025-09-21T21:20:36.923957,crawl,"[TODAY GKNU] [글로컬대학추진단] 홍콩대 파스퇴르 연구소 현지랩 구축으로 백신연구역량 강화 및 전문인력 양성. 한우자조금관리위원회와 업무협약 체결. 미술학전공 [한국화전공] 2025년 <국가유산 수리기능자> 국가자격시험 90% 합격!!! [GKNU NOTICE] 국립경국대학교 2026 전공소개자료. 2025학년도 2학기 추가등록(3차) 및 분할납부(2차) 등록 안내. 2025학년도 2학기 폐강 교과목 안내(2차). [국립대학육성사업] 2025년 동계 단기 어학연수 파견 프로그램 참가자 모집 안내. 2025학년도 2학기 추가등록(2차) 및 차등납부자 등록 안내. 2025학년도 2학기 조기졸업 신청 안내."
https://www.gknu.ac.kr/main/html.do?menu_idx=646,국립경국대학교,,2025-09-21T21:20:37.140566,crawl,"[장학금 안내] 성적우수 장학금: 학업성적우수(1개학기, 3.0, 등록금 차등), 입학성적우수(GKNU(NUG) 인재전형, 최대 2개학기, 3.0, 전액/반액), 전체수석(정시, 최대 8개학기, 3.75, 등록금 전액 등), 전체수석(수시, 최대 8개학기, 3.75, 등록금 전액). 가계지원 장학금: 스마일(최대 8개학기, 2.0, 등록금 차등), 기초생활수급(최대 8개학기, 2.6, 전액 또는 생활비). 특별 장학금: 국가유공자, 북한이탈주민, 체육특기자, 고시합격자 등. [국가장학금] I유형, II유형, 지역인재장학금 등. [학자금대출] 농촌 학자금 대출(무이자), 일반상환(1.7% 고정), 취업후상환(1.7% 변동)."
https://www.gknu.ac.kr/main/html.do?menu_idx=613,국립경국대학교,,2025-09-21T21:20:37.204825,crawl,"[총장 인사말] '미래시대 인재를 양성하는 경북거점국립대' 「교육부 지정 글로컬대학」 국립경국대학교. 1947년 개교 이래 국립안동대학교와 경북도립대학교가 '국립경국대학교'로 새롭게 태어납니다. 국립경국대학교는 '경상북도 국립대학교'를 의미하며, 안동캠퍼스(융합혁신캠퍼스)와 예천캠퍼스(공공혁신캠퍼스)로 구성됩니다. 학생 학습선택권 100% 보장, 신입생 등록금 면제, 학업 장려금 지원 등 다양한 정책을 시행합니다. 국립경국대학교 총장 정태주."
https://www.gknu.ac.kr/main/html.do?menu_idx=64,국립경국대학교,,2025-09-21T21:20:37.266518,crawl,"[무선랜(Wi-Fi) 이용 안내] ANU_wifi, ANU_wifi 2.4, ANU_M_Square(중앙광장): 별도 정책 없이 바로 사용 가능. T wifi Zone: SKT의 SSID 선택 후 웹브라우저에서 MAC주소 등록 후 사용. [문의] 무선 관련: 정보통신원 820-7255. 무선 장애 신고: SKT 고객센터 1599-9333. 담당부서: 정보통신원, 전화번호: 054-820-7252~5(전산망), 7257~61(개발)."
https://www.gknu.ac.kr/main/html.do?menu_idx=614,국립경국대학교,,2025-09-21T21:20:43.119155,crawl,"[총장 프로필] 이름: 정태주 (Chung, Tai-Joo, 鄭泰柱). 소속: 국립경국대학교 공과대학 전기·신소재공학부 교수. 이메일: preanu9@anu.ac.kr. 주요경력 및 학력 정보 포함."
https://www.gknu.ac.kr/main/module/presidentSchedule/index.do?menu_idx=11,국립경국대학교,,2025-09-21T21:20:43.175052,crawl,""
https://www.gknu.ac.kr/main/board/view.do?menu_idx=26&manage_idx=1&board_idx=227353,국립경국대학교,2025-09-15T00:00:00+09:00,2025-09-21T21:20:43.650053,crawl,"[2025학년도 2학기 추가등록(3차) 안내] 등록대상: 학부 및 대학원 미등록자, 분할납부 2차 납부대상자. 등록기간: 2025. 9. 23.(화) ∼ 9. 25.(목) 08:00 ~ 20:00. 납부방법: 은행 납부(신한은행, 농협 가상계좌), 신용카드 납부(신한카드, 현대카드, NH농협카드). 등록금 고지서: 종합정보시스템에서 출력. 등록금액 '0원' 학생은 학교에서 자동 등록 처리. 문의: 재무과(054-820-7148)."
https://www.gknu.ac.kr/main/html.do?menu_idx=84,국립경국대학교,,2025-09-21T21:20:43.734374,crawl,"[교표 및 심벌마크] 세로형, 가로형, Type A, Type B 디자인 제공."
https://www.gknu.ac.kr/main/html.do?menu_idx=647,국립경국대학교,,2025-09-21T21:20:43.805098,crawl,"[학생상담센터 안내] 개인상담, 집단상담, 심리검사 제공. 심리검사 및 상담: 월~금(연중). 집단상담 프로그램: 마음성장, 마음 업 자존감 꽉, 또래상담 등. 심리검사 종류: MBTI, MMPI, STRONG 등. 특강: 인성함양 및 생명지킴이 교육."
https://www.gknu.ac.kr/main/html.do?menu_idx=2,국립경국대학교,,2025-09-21T21:20:43.870311,crawl,""
https://www.gknu.ac.kr/main/html.do?menu_idx=13,국립경국대학교,,2025-09-21T21:20:43.943743,crawl,"[역대 총장 및 학장] 초대 학장 김학수 박사 (1979.03.09~1983.03.11) 부터 제9대 총장 정태주 박사 (2023.07.01 ~ 현재)까지의 명단."
https://www.gknu.ac.kr/main/board/view.do?menu_idx=26&manage_idx=1&board_idx=226476,국립경국대학교,2025-07-01T00:00:00+09:00,2025-09-21T21:20:44.219750,crawl,"[2025학년도 2학기 한국장학재단 학자금 대출 신청 안내] 대출 자격: 취업 후 상환, 일반 상환, 특별 승인. 신청 기간: 등록금 대출(7.2~10.23), 생활비 대출(7.2~11.18). 대출 금리: 1.70%. 대출 한도: 등록금(소요액 전액), 생활비(학기당 200만원). 신청 방법: 한국장학재단 홈페이지 또는 모바일 앱. 문의: 한국장학재단(1599-2000), 학생지원과 장학팀(054-820-7053)."
https://www.gknu.ac.kr/cms/fileManage/download/486.do,,,2025-09-21T21:21:37.243682,crawl,"[PDF 파일로 내용을 표시할 수 없습니다.]"
https://www.gknu.ac.kr/main/html.do?menu_idx=86,국립경국대학교,,2025-09-21T21:21:37.356944,crawl,"[개교 70주년 엠블럼] 국문타입, 영문타입, 좌우조합형, 세로조합형 디자인 및 CMYK 색상 정보 제공."
https://www.gknu.ac.kr/main/html.do?menu_idx=477,국립경국대학교,,2025-09-21T21:21:37.452189,crawl,"[캐릭터] 학교 캐릭터 이미지 제공."
https://www.gknu.ac.kr/main/html.do?menu_idx=90,국립경국대학교,,2025-09-21T21:21:37.731070,crawl,"[국립경국대학교 교가] 1절: 낙동강 푸른 가람추로 삼백리... 2절: 태백산 높은 줄기 영남 삼백리..."
https://www.gknu.ac.kr/main/module/campus/index.do?menu_idx=626&gubun=yecheon,국립경국대학교,,2025-09-21T21:21:37.789670,crawl,"[캠퍼스 안내] 예천캠퍼스: 경상북도 예천군 예천읍 도립대학길 114. 영주실습장: 경상북도 영주시 안정면 대룡산로 220."
https://www.gknu.ac.kr/cms/fileManage/download/508.do,,,2025-09-21T21:21:40.456509,crawl,"[PDF 파일로 내용을 표시할 수 없습니다.]"
https://www.gknu.ac.kr/main/html.do?menu_idx=250,국립경국대학교,,2025-09-21T21:21:40.913280,crawl,"[정보공개 청구권자] 모든국민: 본인 또는 대리인을 통해 청구 가능. 법인·단체: 대표자 명의로 청구 가능. 외국인: 국내에 일정한 주소를 두고 거주하거나, 학술·연구 목적으로 체류하는 자 등."
https://www.gknu.ac.kr/main/html.do?menu_idx=245,국립경국대학교,,2025-09-21T21:21:41.063962,crawl,"[게시판 운영 세칙] 목적: 홈페이지 게시판의 효율적인 운영과 관리를 위함. 글의 삭제 원칙: 욕설, 비속어, 사적인 내용, 상업적인 글, 특정인 비방, 명예훼손 가능성이 있는 글 등은 삭제될 수 있음. 삭제 절차 및 수정, 용어 정의에 대해 규정함. 담당부서: 정보통신원."
https://www.gknu.ac.kr/main/html.do?menu_idx=243,국립경국대학교,,2025-09-21T21:21:41.195542,crawl,"[영상정보처리기기 운영·관리 방침] 설치 대수: 총 662대 (범죄예방 654, 시설안전 8). 설치 위치: 건물외곽, 귀빈숙소, 변전실, 각 단과대학, 도서관 등. 촬영시간: 24시간. 보관기간: 촬영일로부터 30일 이내. 책임자 및 담당자 연락처 정보 포함."
https://www.gknu.ac.kr/main/html.do?menu_idx=242,국립경국대학교,,2025-09-21T21:21:41.456335,crawl,"[개인정보 처리방침] 개인정보의 처리 목적, 항목, 보유 기간, 제3자 제공, 위탁, 파기 절차 등을 안내. 정보주체의 권리 및 행사방법, 안전성 확보조치, 개인정보 보호책임자(사무국장 고정환) 및 담당부서(총무과) 정보 포함. 개인정보 열람청구 및 권익침해 구제방법 안내."
https://safety.gknu.ac.kr,,,2025-09-21T21:21:41.511406,crawl,""
